"Chemical","CASRN","A181149","A181150","A181151"
"1-Methylnaphthalene","90-12-0",0,0,37
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol","2772-45-4",420,250,310
"2,4-Di-tert-butylphenol","96-76-4",4200,5400,5000
"Benzophenone","119-61-9",0,960,0
"Benzothiazole","95-16-9",0,2300,650
"Bis(2-ethylhexyl)phthalate","117-81-7",1000,1900,2600
"Butyl benzyl phthalate","85-68-7",0,690,4200
"Di-n-butyl phthalate","84-74-2",0,0,5200
"Diethyl phthalate","84-66-2",0,0,1500
"Diisobutyl phthalate","84-69-5",0,0,920
"PCB 110","38380-03-9",0,0,60
"PCB 47","2437-79-8",0,0,300
