ID_full,ID_short,Hours_worn,Days_worn,Actual wt.,Weight
SK4000WB,SK4000,39.5,1.65,4.4442,4.76
SK4002WB,SK4002,31.5,1.31,4.5154,4.76
SK4003WB,SK4003,29,1.21,4.4334,4.76
SK4004WB,SK4004,29.25,1.22,4.4982,4.76
SK4005WB,SK4005,24,1.00,4.445,4.76
SK4006WB,SK4006,26.5,1.10,4.4973,4.76
SK4007WB,SK4007,28.5,1.19,4.4466,4.76
SK4008WB,SK4008,32,1.33,4.4677,4.76
SK4009WB,SK4009,32.45,1.35,4.4766,4.76
SK4010WB,SK4010,24,1.00,4.5385,4.76
SK4011WB,SK4011,29,1.21,4.4331,4.76
SK4014WB,SK4014,30,1.25,4.5063,4.76
SK4016WB,SK4016,24,1.00,4.4436,4.76
SK4017WB,SK4017,24,1.00,4.5248,4.76
SK4018WB,SK4018,38,1.58,4.5017,4.76
SK4019WB,SK4019,33,1.38,4.4988,4.76
SK4020WB,SK4020,22,0.92,4.486,4.76
SK4021WB,SK4021,24,1.00,4.5366,4.76
SK4022WB,SK4022,39,1.63,4.538,4.76
SK4023WB,SK4023,40.75,1.70,4.4863,4.76
SK4024WB,SK4024,27.5,1.15,4.5478,4.76
SK4025WB,SK4025,29.5,1.23,4.4746,4.76
SK4026WB,SK4026,25,1.04,4.519,4.76
SK4027WB,SK4027,35,1.46,4.4066,4.76
SK4028WB,SK4028,35,1.46,4.5014,4.76
SK4029WB,SK4029,30,1.25,4.4687,4.76
SK4030WB,SK4030,27,1.13,4.527,4.76
SK4031WB,SK4031,38.25,1.59,4.4322,4.76
SK4033WB,SK4033,42.67,1.78,4.4258,4.76
SK4034WB,SK4034,26,1.08,4.43,4.76
