SampleNumber,week.factor,size.factor
A170125,1.05,4.76
A170126,0.52,4.76
A170117,0.94,4.76
A170123,1.06,4.76
A170120,1.01,4.76
A170127,0.96,4.76
A170118,1.03,4.76
A170119,0.97,4.76
A170130,0.95,4.76
A170129,0.98,4.76
A170133,1.00,4.76
A170128,0.90,4.76
A170135,0.99,4.76
A170132,1.02,4.76
A170316,1.05,4.76
A170299,0.98,4.76
A170309,1.01,4.76
A170311,1.13,4.76
A170313,1.27,4.76
A170304,0.95,4.76
A170312,1.01,4.76
A170307,0.95,4.76
A170317,0.94,4.76
A170314,0.95,4.76
A170315,1.00,4.76
A170658,0.99,3.74
A170643,1.03,3.74
A170647,0.99,3.74
A170649,1.00,4.76
A170646,0.99,4.76
A170648,1.00,4.76
A170651,3.58,3.74
A170653,1.00,3.74
A170662,0.98,4.76
A170654,0.97,4.76
A170650,0.98,4.76
A170645,1.00,4.76
A170657,1.02,3.74
A170660,0.99,3.74
A170661,0.83,3.74
A170655,0.94,3.74
A171010,1.00,4.76
A171011,0.90,3.74
A171004,1.06,3.74
A171009,0.96,3.74
A171007,0.95,4.76
A171003,1.00,3.74
A171006,0.97,4.76
A170298,1.00,3.74
A171015,0.86,3.74
A171012,1.00,3.74
A171016,1.01,3.74
A171013,1.00,3.74
A171018,1.08,3.74
A171001,0.95,3.74
A171002,0.97,3.74
A171017,1.02,3.74
A171701,1.00,3.74
A171700,0.79,3.74
A180078,1.00,4.76
A171706,0.99,3.74
A171702,0.99,3.74
A171711,1.03,3.74
A171703,1.07,4.76
A171707,1.01,3.74
A171709,0.97,4.76
A171714,1.00,3.74
A171716,1.02,3.74
A171704,1.00,3.74
A180074,0.87,4.76
A180075,0.99,3.74
A171691,1.00,3.74
A171690,1.05,3.74
